obs,panel_month,actual_quote_date,exact_calendar_first_of_month,M3,M6,M9,M12,M15,M18,M21,M24,M30,M36,M48,M60,M72,M84,M96,M108,M120
1972M01,1972-01,1972-01-03,False,3.74417094447176,4.023316902262389,4.2061167993347075,4.256194352351723,4.476206678819185,4.555447355042864,4.716867734358519,4.840568055464894,5.029357803405933,5.255967490070742,5.2395038055934275,5.526723534688915,5.8157459779681595,5.902850189742051,5.9022332181317285,5.901616246521405,5.926689541719586
1972M02,1972-02,1972-02-01,True,3.418180209503248,3.83639460975147,4.0765776170471355,4.219707248341291,4.507696813206173,4.635899160608736,4.734206455917275,4.82809985433,5.157254728770858,5.555749406532977,5.5022720527634315,5.7597167888100245,5.975460460243356,6.010969498541286,6.026001905434524,6.041034312327762,6.07667799403248
1972M03,1972-03,1972-03-01,True,3.4037910847934656,3.8157642797010705,3.964440807891846,4.265378501334326,4.329073639095148,4.371633528697528,4.554831654320944,4.734543846042145,5.013694678663703,5.2296415423059575,5.464006410717456,5.637085995569041,5.87250763801919,5.9394075267829205,6.003684016006802,6.0679605052306815,6.260719517324863
1972M04,1972-04,1972-04-03,False,3.864641564433892,4.395541723825842,4.702781713054193,4.945893859275729,5.152162827472765,5.315772538335964,5.450285244415304,5.542461941204601,5.6673296025553155,5.798694025325444,6.037793402604795,6.037683165302255,6.161852564533401,6.141760385787036,6.1159480819194885,6.090135778051941,6.293791990303174
1972M05,1972-05,1972-05-01,True,3.6142477126650077,3.908968004930038,4.3453542677735175,4.471168527529324,4.532323628079663,4.707384980260003,4.902216746454074,5.084030117895543,5.301846015349341,5.493052237428793,5.804420151826074,5.7461174978166705,5.904093303064503,5.938100779106524,6.027947992837255,6.117795206567987,6.25094985624343
1972M06,1972-06,1972-06-01,True,3.863872810374998,4.283843406299062,4.508465607498083,4.704444559497055,4.715276495832727,4.8423002702990585,4.9534994632439,5.00974756365307,5.22756275479907,5.321021500183706,5.604377044455207,5.7359788386260995,5.924472643918551,5.944870252431936,5.993056342887922,6.041242433343907,6.275333594142994
1972M07,1972-07,1972-07-03,False,4.120979573041403,4.554429131938161,4.976875024391576,5.195812819736294,5.144069804955553,5.271202421931378,5.364907846816556,5.435827509454515,5.5507201566675795,5.636313373205483,5.8542814658065,5.90598840229469,6.053270403002455,6.017603922363692,5.996426336157144,5.975248749950596,6.002111580842729
1972M08,1972-08,1972-08-01,True,3.755365740444847,4.332248100954104,4.694911315619227,4.929123547399097,4.997506425529454,5.0658893036598105,5.16695075786497,5.278445384425522,5.440184141053061,5.654172451910597,5.869876255863553,5.888495479720878,6.030209020022931,6.0311114090324445,6.04442880103909,6.057746193045737,6.32455231604432
1972M09,1972-09,1972-09-01,True,4.574552222744715,5.053404259536928,5.224004630525329,5.472412323251813,5.483483600275652,5.499707698532734,5.547610087094926,5.616813808086503,5.709486389454999,5.865226642216273,6.104240532583468,6.085629314269546,6.21601060195019,6.391649743568781,6.405174469399241,6.418699195229702,6.465724450008474
1972M10,1972-10,1972-10-02,False,4.587425866474113,5.228981598029361,5.444938062067636,5.652149716966283,5.644112719636025,5.68854063308298,5.750817552677936,5.7675234483114854,5.737113358650533,5.9242872111145735,6.011641325376855,6.053943971942788,6.170006577310442,6.270880898134893,6.322414306453869,6.410623520398024,6.580411168337726
