,y3,y6,y9,y12,y15,y18,y21,y24,y30,y36,y48,y60,y72,y84,y96,y108,y120
y3,0.06725276389269326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y6,0.0,0.004917084297553465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y9,0.0,0.0,0.0062366848099504445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y12,0.0,0.0,0.0,0.00931260803274967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y15,0.0,0.0,0.0,0.0,0.00900899164957978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y18,0.0,0.0,0.0,0.0,0.0,0.006256334325427446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y21,0.0,0.0,0.0,0.0,0.0,0.0,0.007002844977270947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005602127571291317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006578267484433714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006963108136538711,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011226802277432057,0.0,0.0,0.0,0.0,0.0,0.0
y60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026634608699023402,0.0,0.0,0.0,0.0,0.0
y72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011793843816033357,0.0,0.0,0.0,0.0
y84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021738632746830848,0.0,0.0,0.0
y96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009488529340938488,0.0,0.0
y108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166361193603131,0.0
y120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03158220263627341
