parameter,value
log_lambda,-2.6230086311984637
H_std_y3,0.2593313785346718
H_std_y6,0.0701219245140452
H_std_y9,0.0789726839479984
H_std_y12,0.0965018550741366
H_std_y15,0.094915708128738
H_std_y18,0.0790969931503558
H_std_y21,0.0836830029173842
H_std_y24,0.0748473618191804
H_std_y30,0.0811065193707245
H_std_y36,0.0834452403468209
H_std_y48,0.1059566056337784
H_std_y60,0.163201129588687
H_std_y72,0.1085994650817091
H_std_y84,0.1474402684032786
H_std_y96,0.0974090824355639
H_std_y108,0.1289810814046506
H_std_y120,0.17771382229943
Phi_L_L,0.992307725680184
Phi_L_S,0.0265152602768234
Phi_L_C,-0.0190950258183693
Phi_S_L,-0.0173734343926656
Phi_S_S,0.9370809137678462
Phi_S_C,0.0494478270598855
Phi_C_L,0.0348936484065801
Phi_C_S,0.0286001434299382
Phi_C_C,0.8788592952086225
mu_L,7.34406858432305
mu_S,-2.0200750318559293
mu_C,-1.0689038184399162
Q_root_00,0.310411448283089
Q_root_01,-0.0261975528028982
Q_root_02,0.0520365200139417
Q_root_11,0.6404095824850458
Q_root_12,-0.0848344997025379
Q_root_22,0.8946996155129189
