amp_noise_prior,time_prior,dimension_prior,lambda_corr,maturity_set,pooled_val_rmse_bp,pooled_val_mae_bp,mean_fold_rmse_bp,mean_fold_mae_bp,n_total_errors,rank_by_neural_13_rmse,selected_flag
conservative_amp_noise,current_time,smooth_dims,0.25,neural_13,29.49606250869555,22.50613448544852,29.527800554722877,22.65816928245461,2184,6.0,0
conservative_amp_noise,current_time,smooth_dims,0.25,project_17,29.871825960895848,22.955268846253418,29.887816171256095,23.103663518009018,2856,6.0,0
conservative_amp_noise,current_time,smooth_dims,0.5,neural_13,29.852016555118315,22.83304437434547,29.902240711916466,23.004225309799057,2184,9.0,0
conservative_amp_noise,current_time,smooth_dims,0.5,project_17,30.291417839927874,23.319449881876213,30.329904663472643,23.499264585031238,2856,9.0,0
conservative_amp_noise,current_time,smooth_dims,1.0,neural_13,31.113961160112627,24.11008802083589,31.20009694827216,24.319677408625257,2184,10.0,0
conservative_amp_noise,current_time,smooth_dims,1.0,project_17,31.67615743692893,24.63761765335662,31.76069644418104,24.879626148781938,2856,10.0,0
conservative_amp_noise,current_time,moderate_dims,0.25,neural_13,29.37360955523685,22.3976903794548,29.398307642727968,22.531858119101912,2184,4.0,0
conservative_amp_noise,current_time,moderate_dims,0.25,project_17,29.765539661741073,22.862641381628684,29.773952822007526,22.99137815256705,2856,4.0,0
conservative_amp_noise,current_time,moderate_dims,0.5,neural_13,29.809905192443075,22.86200691116314,29.84011096626558,23.001029846745883,2184,8.0,0
conservative_amp_noise,current_time,moderate_dims,0.5,project_17,30.2374377995793,23.30809832544522,30.25387437929687,23.45057567606842,2856,8.0,0
conservative_amp_noise,current_time,moderate_dims,1.0,neural_13,31.791099883966083,24.869708392375557,31.817115671171393,25.02311323406323,2184,13.0,0
conservative_amp_noise,current_time,moderate_dims,1.0,project_17,32.163394233476524,25.14453039989278,32.18194817680985,25.31444180381583,2856,13.0,0
conservative_amp_noise,long_time,smooth_dims,0.25,neural_13,29.16009612730935,22.198557690806425,29.1708992975614,22.311649034610753,2184,2.0,0
conservative_amp_noise,long_time,smooth_dims,0.25,project_17,29.52025110499415,22.658650323766494,29.51334036208745,22.758620096521337,2856,2.0,0
conservative_amp_noise,long_time,smooth_dims,0.5,neural_13,29.177108513277314,22.232705000608565,29.18382295464664,22.329680134336282,2184,3.0,0
conservative_amp_noise,long_time,smooth_dims,0.5,project_17,29.559832195804002,22.69598926817785,29.549018039969024,22.781100510241455,2856,3.0,0
conservative_amp_noise,long_time,smooth_dims,1.0,neural_13,29.777427200945922,22.961905459499487,29.773679009206926,23.043388152849754,2184,7.0,0
conservative_amp_noise,long_time,smooth_dims,1.0,project_17,30.12817859752219,23.31360765389958,30.106132516578963,23.38214394467956,2856,7.0,0
conservative_amp_noise,long_time,moderate_dims,0.25,neural_13,29.09222670524248,22.136166809878667,29.096657426154184,22.230277430171355,2184,1.0,1
conservative_amp_noise,long_time,moderate_dims,0.25,project_17,29.483796853325448,22.62019232522171,29.469498927413895,22.69891415096522,2856,1.0,1
conservative_amp_noise,long_time,moderate_dims,0.5,neural_13,29.404707428581474,22.497544834022733,29.3967870858725,22.568758830340943,2184,5.0,0
conservative_amp_noise,long_time,moderate_dims,0.5,project_17,29.83263203490187,22.962442248705862,29.803248442888144,23.014996759791398,2856,5.0,0
conservative_amp_noise,long_time,moderate_dims,1.0,neural_13,31.596242326813314,24.79590515170055,31.564918628286076,24.854977122842598,2184,12.0,0
conservative_amp_noise,long_time,moderate_dims,1.0,project_17,31.97074070190941,25.08226505073782,31.90791263005634,25.112891344511343,2856,12.0,0
moderate_amp_noise,current_time,smooth_dims,0.25,neural_13,31.899246687515763,24.60323821581798,31.98195856917626,24.969843606433614,2184,14.0,0
moderate_amp_noise,current_time,smooth_dims,0.25,project_17,32.73779185662284,25.35610947982277,32.792771513731545,25.7812336047118,2856,14.0,0
moderate_amp_noise,current_time,smooth_dims,0.5,neural_13,37.14406423454299,29.015890638507045,37.125498406174124,29.679841640306304,2184,16.0,0
moderate_amp_noise,current_time,smooth_dims,0.5,project_17,38.83851155300104,30.346932424071458,38.70397365649006,31.15209971760139,2856,16.0,0
moderate_amp_noise,current_time,smooth_dims,1.0,neural_13,52.14361308997397,40.57273922958081,51.67453124661159,41.87378968833854,2184,18.0,0
moderate_amp_noise,current_time,smooth_dims,1.0,project_17,55.79464691249515,43.39698609211546,54.929524842949455,45.00784608457601,2856,18.0,0
